ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
2301  ,NAVAHO DR ,K2C3Z6,Ward 8,,35,CONTRACTOR UNKNOWN,Retail,Nepean,Interior alteration to a 1 storey retail building (Pizza Pizza),0.0,40000.0,82.0,2300301.0,Construction,2023-01-25 09:20:57
1224  ,ANOKA ST ,K1V6C6,Ward 18,4M-23,433,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an addition to a 2 storey detached dwelling (front and rear shed dormers),0.0,119886.15,645.0,2300302.0,Construction,2023-01-25 09:41:29
108  ,BILTMORE CRES ,K2S2C6,Ward 21,4M-1175,19,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations to 1 storey detached dwelling,0.0,8000.0,77.36,2300303.0,Construction,2023-01-25 09:45:04
2065  -35,JASMINE CRES ,K1J7W2,Ward 11,CCP 22,,BUILDABLE ACCESSIBLE DESIGN AND RENOVATIONS,Rowhouse,Gloucester,Interior alterations to the main floor of a 2 storey rowhouse dwelling,0.0,5000.0,30.0,2300304.0,Construction,2023-01-25 10:18:15
1125  ,COLONEL BY DR ,K1S5B6,Ward 17,,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations to the 1st floor of a 5 storey institutional building,0.0,165500.0,538.2,2300306.0,Construction,2023-01-25 11:14:54
676  ,PRINCESS LOUISE DR ,K4A2A7,Ward 1,50M-127,2,OAKWOOD DESIGNERS & BUILDERS,Single,Cumberland,Interior alterations to a 2 storey detached dwelling (remove load-bearing wall),0.0,12301.52,462.0,2300307.0,Construction,2023-01-25 11:46:47
3380  ,JOCKVALE RD ,K2J6P1,Ward 3,4M-,,BECC CONSTRUCTION LTD,Apartment,Nepean,FOUNDATION ONLY: Construct a 3 storey apartment building,24.0,0.0,0.0,2300308.0,Construction,2023-01-25 11:49:37
515  ,BRANCH ST ,K2J6P1,Ward 3,4M-,,BECC CONSTRUCTION LTD,Apartment,Nepean,FOUNDATION ONLY: Construct a 3 storey apartment building,8.0,0.0,0.0,2300309.0,Construction,2023-01-25 11:50:37
1910  ,"ST-LAURENT, BOUL  ",K1G1A4,Ward 18,643,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 1 storey retail building (Elmvale Acres Shopping Centre - Unit 032A - Vape Nicotine Plus),0.0,15000.0,400.0,2300310.0,Construction,2023-01-25 12:00:03
1129  ,WELLINGTON ST W,K1Y2Y6,Ward 15,,42 & 43,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up in a 3 storey mixed use building (Bakery),0.0,40000.0,1206.75,2300311.0,Construction,2023-01-25 12:03:01
806  ,BUNCHBERRY WAY ,K1T0K7,Ward 22,4M-1484,29,IMPRESSIONS GROUP OTTAWA,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0.0,0.0,0.0,2300312.0,Pool Enclosure,2023-01-25 12:22:12
2725  ,QUEENSVIEW DR ,K2B0A1,Ward 7,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations in a 2 storey office building (Unit 100),0.0,45000.0,434.5,2300313.0,Construction,2023-01-25 15:42:08
1314  ,WOODSIDE DR ,K2C2G9,Ward 8,345924,787,***CONTRACTOR***,Single,Old Ottawa,Interior alterations in the basement of a 1 storey detached dwelling,0.0,5000.0,43.0,2300314.0,Construction,2023-01-25 16:01:40
512  ,BANK ST ,K2P1Z6,Ward 14,30,10-12,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up on ground floor of a 1 storey retail building (Purolator),0.0,500000.0,5001.99,2300315.0,Construction,2023-01-26 08:40:25
100  ,HEMLO CRES ,K2T1C9,Ward 4,4M-1015,,COPPERSTONE KITCHEN AND RENOVATIONS,Single,Kanata,Interior alterations in a 2 storey detached dwelling,0.0,40000.0,227.0,2300317.0,Construction,2023-01-26 10:19:54
19  ,MAPLE VIEW CRES ,K2G5J6,Ward 8,4M-517,22,IK HOME IMPROVEMENT INC.,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0.0,15000.0,16.0,2300318.0,Construction,2023-01-26 10:21:13
708  ,TALIESIN CRES ,K2S2K6,Ward 6,4M-,,SEVERE CONTRACTING INC,Rowhouse,Goulbourn,Finish the basement in a 2 storey rowhouse,0.0,75049.05,1615.0,2300319.0,Construction,2023-01-26 10:33:14
847  ,WALKLEY RD ,K1V6R6,Ward 16,5R11278,24,TREVI GATINEAU,Single,Old Ottawa,Install an enclosure for an above ground pool (rear yard),0.0,0.0,0.0,2300320.0,Pool Enclosure,2023-01-26 11:08:36
719  ,FRASER AVE ,K2A2S1,Ward 7,M-98,227,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations in a 1 storey dwelling,0.0,10000.0,80.0,2300321.0,Construction,2023-01-26 13:03:10
6083  ,BROWNLEE RD ,K2S1B8,Ward 21,4M-,24,TOP HAT HOME COMFORT SERVICES,Single,Goulbourn,Install a woodstove in the basement in a 1 storey detached dwelling,0.0,7300.0,0.0,2300322.0,Construction,2023-01-26 14:33:02
